City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
557,Save,BJ,81.79,clear sky,8.0425,2.486,Idadu Hôtel
568,Camocim,BR,80.26,overcast clouds,-2.9022,-40.8411,Hotel Dunas
576,Kalmunai,LK,75.09,few clouds,7.4167,81.8167,Saji new food
577,Clarence Town,AU,79.14,clear sky,-32.5833,151.7833,Erringhi Hotel
597,Barahona,DO,80.42,scattered clouds,18.2085,-71.1008,Hotel Baramar
602,Sulangan,PH,79.14,moderate rain,11.1373,123.7228,Marion's Inn
609,Port-Gentil,GA,81.32,broken clouds,-0.7193,8.7815,Tara-Mé
612,Mount Isa,AU,80.37,overcast clouds,-20.7333,139.5,Ibis Styles
613,Rabaul,PG,82.69,broken clouds,-4.1967,152.1721,Rabaul Hotel
617,Anloga,GH,79.54,scattered clouds,5.7947,0.8973,Hotel de White House
618,Santa Fe,AR,86.02,light rain,-31.6333,-60.7,Intersur Hotel
622,Caninde,BR,80.94,overcast clouds,-4.3589,-39.3117,Hotel Jardineira
624,Rameswaram,IN,79.43,clear sky,9.2833,79.3,Hyatt Place Hotel
631,Quatre Cocos,MU,78.91,few clouds,-20.2078,57.7625,Horisun
637,Port Blair,IN,78.84,haze,11.6667,92.75,Andaman Ocean Breeze
660,Makakilo City,US,81.45,clear sky,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
674,Dargaville,NZ,76.05,clear sky,-35.9333,173.8833,Central Hotel
695,Karratha,AU,81.97,scattered clouds,-20.7377,116.8463,Karratha International Hotel
