City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
99,Humberto De Campos,BR,2022-12-27 22:27:37,-2.5983,-43.4611,79.05,80,93,7.7,overcast clouds
100,Vila Franca Do Campo,PT,2022-12-27 22:27:37,37.7167,-25.4333,61.21,83,99,12.15,overcast clouds
101,Dzilam Gonzalez,MX,2022-12-27 22:27:38,21.2833,-88.9333,75.7,59,4,7.47,clear sky
102,Srandakan,ID,2022-12-27 22:27:38,-7.9386,110.2506,77.13,87,100,4.54,overcast clouds
103,Tiznit,MA,2022-12-27 22:27:38,29.5833,-9.5,61.61,33,9,12.21,clear sky
104,Banda Aceh,ID,2022-12-27 22:27:39,5.5577,95.3222,77.88,85,95,9.48,overcast clouds
105,Leningradskiy,RU,2022-12-27 22:27:39,69.3833,178.4167,-20.99,99,95,5.08,overcast clouds
106,Pusad,IN,2022-12-27 22:27:39,19.9,77.5833,70.99,57,8,4.88,clear sky
107,Eyemouth,GB,2022-12-27 22:27:40,55.8713,-2.0901,41.23,86,78,13.04,broken clouds
108,Seminole,US,2022-12-27 22:24:10,28.7086,-81.2081,61.41,61,0,8.05,clear sky
109,Asau,RO,2022-12-27 22:27:40,46.4333,26.4,36.52,87,32,2.19,scattered clouds
110,Goderich,CA,2022-12-27 22:27:40,43.7501,-81.7165,28.9,74,100,14.97,overcast clouds
111,Doctor Juan Leon Mallorquin,PY,2022-12-27 22:27:41,-25.4,-55.2667,76.73,75,79,10.38,broken clouds
112,Qaanaaq,GL,2022-12-27 22:27:41,77.484,-69.3632,-10.79,98,100,2.04,overcast clouds
113,Lompoc,US,2022-12-27 22:15:25,34.6391,-120.4579,57.92,96,100,5.75,moderate rain
114,Camacha,PT,2022-12-27 22:27:41,33.0833,-16.3333,62.02,82,20,13.8,few clouds
115,Port Hardy,CA,2022-12-27 22:27:42,50.6996,-127.4199,44.78,93,100,10.36,light rain
116,Georgetown,MY,2022-12-27 22:23:55,5.4112,100.3354,78.73,82,20,0.0,few clouds
117,Vaini,TO,2022-12-27 22:27:42,-21.2,-175.2,78.96,94,75,5.75,light rain
118,Pemangkat,ID,2022-12-27 22:27:42,1.1667,108.9667,77.23,86,100,10.42,overcast clouds
119,Codrington,AU,2022-12-27 22:27:43,-38.2667,141.9667,60.03,89,100,14.5,overcast clouds
120,Kattivakkam,IN,2022-12-27 22:27:43,13.2167,80.3167,78.89,84,9,2.93,clear sky
121,Half Moon Bay,US,2022-12-27 22:27:43,37.4636,-122.4286,58.91,93,100,10.36,mist
122,Barrow,US,2022-12-27 22:18:10,71.2906,-156.7887,-5.78,77,0,18.41,clear sky
123,Kurtamysh,RU,2022-12-27 22:27:44,54.9103,64.4319,-0.04,98,29,6.89,scattered clouds
124,Nikolayevka,RU,2022-12-27 22:27:44,53.1257,47.2041,12.22,100,100,3.65,overcast clouds
